entry_date,signal_date,exit_date,종목코드,entry_price,exit_price,shares,notional_at_entry,buy_cost,sell_cost,exit_reason,cost_paid,holding_days
2017-04-03,2017-03-31,2017-07-03,035420,855000.0,844000.0,2.3391812865497077e-07,0.2,0.00013000000000000002,0.0005231812865497076,quarterly_rebalance,0.0006531812865497076,60
2017-04-03,2017-03-31,2017-07-03,017670,252500.0,269000.0,7.920792079207921e-07,0.2,0.00013000000000000002,0.0005646336633663367,quarterly_rebalance,0.0006946336633663367,60
2017-04-03,2017-03-31,2017-07-03,051910,296000.0,294000.0,6.756756756756758e-07,0.2,0.00013000000000000002,0.000526418918918919,quarterly_rebalance,0.000656418918918919,60
2017-04-03,2017-03-31,2017-07-03,005930,2070000.0,2375000.0,9.661835748792271e-08,0.2,0.00013000000000000002,0.0006080917874396136,quarterly_rebalance,0.0007380917874396136,60
2017-04-03,2017-03-31,2017-07-03,207940,171500.0,291000.0,1.1623931325105148e-06,0.1993504222255533,0.00012957777444660965,0.0008963794641354834,quarterly_rebalance,0.001025957238582093,60
2017-07-03,2017-06-30,2017-10-10,005490,287000.0,320000.0,8.179450534063437e-07,0.23475023032762066,0.00015258764971295342,0.0006936174052885795,quarterly_rebalance,0.0008462050550015329,64
2017-07-03,2017-06-30,2017-10-10,010130,456000.0,506000.0,5.148031366833786e-07,0.23475023032762066,0.00015258764971295342,0.0006902995259787423,quarterly_rebalance,0.0008428871756916957,64
2017-07-03,2017-06-30,2017-10-10,105560,58100.0,58900.0,4.040451468633746e-06,0.23475023032762066,0.00015258764971295342,0.0006306538674816982,quarterly_rebalance,0.0007832415171946516,64
2017-07-03,2017-06-30,2017-10-10,005930,2375000.0,2668000.0,9.88422022432087e-08,0.23475023032762066,0.00015258764971295342,0.0006988341382999342,quarterly_rebalance,0.0008514217880128876,64
2017-07-03,2017-06-30,2017-10-10,086280,156000.0,146500.0,1.4999217158127268e-06,0.23398778766678538,0.0001520920619834105,0.0005823071081213957,quarterly_rebalance,0.0007343991701048063,64
2018-01-02,2017-12-28,2018-04-02,005490,335000.0,324500.0,7.405189317376849e-07,0.24807384213212444,0.00016124799738588089,0.0006367907423745287,quarterly_rebalance,0.0007980387397604097,61
2018-01-02,2017-12-28,2018-04-02,004020,58100.0,51000.0,4.2697735306733985e-06,0.24807384213212444,0.00016124799738588089,0.0005770598926705098,quarterly_rebalance,0.0007383078900563907,61
2018-01-02,2017-12-28,2018-04-02,207940,367000.0,487000.0,6.759505235207751e-07,0.24807384213212444,0.00016124799738588089,0.0008723479481297362,quarterly_rebalance,0.001033595945515617,61
2018-01-02,2017-12-28,2018-04-02,028260,125500.0,139000.0,1.9766840010527845e-06,0.24807384213212444,0.00016124799738588089,0.0007281115517877931,quarterly_rebalance,0.000889359549173674,61
2018-01-02,2017-12-28,2018-04-02,051910,407000.0,394000.0,6.075383927783082e-07,0.24726812586077143,0.00016072428180950144,0.0006343308358998316,quarterly_rebalance,0.000795055117709333,61
2019-07-01,2019-06-28,2019-10-01,000720,56000.0,46300.0,4.635447536778456e-06,0.25958506205959353,0.0001687302903387358,0.0005687462355250326,quarterly_rebalance,0.0007374765258637684,63
2019-07-01,2019-06-28,2019-10-01,000210,116000.0,102500.0,2.237802259134427e-06,0.25958506205959353,0.0001687302903387358,0.0006078430386373888,quarterly_rebalance,0.0007765733289761246,63
2019-07-01,2019-06-28,2019-10-01,005930,47350.0,48900.0,5.4822610783441085e-06,0.25958506205959353,0.0001687302903387358,0.0007104188018372214,quarterly_rebalance,0.0008791490921759572,63
2019-07-01,2019-06-28,2019-10-01,005380,141500.0,134000.0,1.8345234067815797e-06,0.25958506205959353,0.0001687302903387358,0.000651439261748139,quarterly_rebalance,0.0008201695520868747,63
2019-07-01,2019-06-28,2019-10-01,068270,206000.0,169000.0,1.2560289253647196e-06,0.2587419586251322,0.00016818227310633592,0.0005625125542245897,quarterly_rebalance,0.0007306948273309256,63
2019-10-01,2019-09-30,2019-12-30,207940,308000.0,433000.0,7.578393404211332e-07,0.23341451684970901,0.00015171943595231085,0.0008695827511662293,period_end,0.0010213021871185403,61
2019-10-01,2019-09-30,2019-12-30,128940,279000.0,296500.0,8.366111715043334e-07,0.23341451684970901,0.00015171943595231085,0.0006573463127302424,period_end,0.0008090657486825532,61
2019-10-01,2019-09-30,2019-12-30,005930,48900.0,55800.0,4.773303003061534e-06,0.23341451684970901,0.00015171943595231085,0.000705828315062709,period_end,0.0008575477510150199,61
2019-10-01,2019-09-30,2019-12-30,018880,11950.0,11150.0,1.9532595552276906e-05,0.23341451684970901,0.00015171943595231085,0.0005771393670809019,period_end,0.0007288588030332127,61
2019-10-01,2019-09-30,2019-12-30,005380,134000.0,120500.0,1.7362418838642919e-06,0.23265641243781512,0.00015122666808457984,0.000554425439564965,period_end,0.0007056521076495448,61
