execution_date,holding_count,turnover,overlap_count
2012-05-07,30,0.5,0
2012-08-06,30,0.26666666666666666,22
2012-11-05,30,0.1,27
2013-02-05,30,0.1,27
2013-05-06,30,0.23333333333333334,23
2013-08-05,30,0.23333333333333334,23
2013-11-05,30,0.13333333333333333,26
2014-02-05,30,0.06666666666666667,28
2014-05-06,30,0.16666666666666666,25
2014-08-05,30,0.16666666666666666,25
2014-11-05,30,0.06666666666666667,28
2015-02-05,30,0.16666666666666666,25
2015-05-06,30,0.2,24
2015-08-05,30,0.23333333333333334,23
2015-11-05,30,0.16666666666666666,25
2016-02-05,30,0.13333333333333333,26
2016-05-06,30,0.16666666666666666,25
2016-08-05,30,0.1,27
2016-11-07,30,0.16666666666666666,25
2017-02-06,30,0.16666666666666666,25
2017-05-08,30,0.16666666666666666,25
2017-08-07,30,0.06666666666666667,28
2017-11-06,30,0.1,27
2018-02-05,30,0.13333333333333333,26
2018-05-07,30,0.3333333333333333,20
2018-08-06,30,0.2,24
2018-11-05,30,0.1,27
2019-02-05,30,0.16666666666666666,25
2019-05-06,30,0.23333333333333334,23
2019-08-05,30,0.26666666666666666,22
2019-11-05,30,0.1,27
2020-02-05,30,0.1,27
2020-05-06,30,0.16666666666666666,25
2020-08-05,30,0.13333333333333333,26
2020-11-05,30,0.1,27
2021-02-05,30,0.13333333333333333,26
2021-05-06,30,0.26666666666666666,22
2021-08-05,30,0.16666666666666666,25
2021-11-05,30,0.16666666666666666,25
2022-02-07,30,0.16666666666666666,25
2022-05-06,30,0.26666666666666666,22
2022-08-05,30,0.13333333333333333,26
2022-11-07,30,0.2,24
2023-02-06,30,0.1,27
2023-05-08,30,0.16666666666666666,25
2023-08-07,30,0.1,27
2023-11-06,30,0.1,27
2024-02-05,30,0.13333333333333333,26
2024-05-06,30,0.26666666666666666,22
2024-08-05,30,0.13333333333333333,26
2024-11-05,30,0.16666666666666666,25
2025-02-05,30,0.1,27
2025-05-06,30,0.1,27
2025-08-05,30,0.16666666666666666,25
2025-11-05,30,0.13333333333333333,26
2026-02-05,30,0.13333333333333333,26
2026-05-06,30,0.2,24
