date,f1_baseline_value,f3_promote_value
2018-01-02,1.0,1.0
2018-01-03,1.0,1.0
2018-01-04,1.0,1.0
2018-01-05,1.0,1.0
2018-01-08,1.0,1.0
2018-01-09,1.0,1.0
2018-01-10,1.0,1.0
2018-01-11,1.0,1.0
2018-01-12,1.0,1.0
2018-01-15,1.0,1.0
2018-01-16,1.0,1.0
2018-01-17,1.0,1.0
2018-01-18,1.0,1.0
2018-01-19,1.0,1.0
2018-01-22,1.0,1.0
2018-01-23,1.0,1.0
2018-01-24,1.0,1.0
2018-01-25,1.0,1.0
2018-01-26,1.0,1.0
2018-01-29,1.0,1.0
2018-01-30,0.9857360221355669,0.9857360221355669
2018-01-31,0.9714439266423536,0.9714439266423536
2018-02-01,0.9784192618680809,0.9784192618680809
2018-02-02,0.9625642065032407,0.9587625245281597
2018-02-05,0.9538207846790159,0.9516898343405432
2018-02-06,0.929500857724848,0.9254311364391437
2018-02-07,0.9103009737501664,0.9061622689164972
2018-02-08,0.9036821935329236,0.9102729569238595
2018-02-09,0.9119222577661443,0.9224982540088742
2018-02-12,0.9051975850136207,0.9025983805558181
2018-02-13,0.8860644580835566,0.8626323547481615
2018-02-14,0.86894132669606,0.8656612998587311
2018-02-19,0.8796554797424658,0.8775141696278526
2018-02-20,0.8728195745550338,0.8715041085542325
2018-02-21,0.8773088861904534,0.8777113538831253
2018-02-22,0.8751242663441626,0.8701839808116612
2018-02-23,0.8877807383984717,0.8929119097147287
2018-02-26,0.893641993811122,0.8966011349932521
2018-02-27,0.8952159964323942,0.8958528133889629
2018-02-28,0.8815682404147405,0.8817631513171809
2018-03-02,0.8816111783183447,0.8746301154141689
2018-03-05,0.8546804134239285,0.8556953422382203
2018-03-06,0.8598208087816704,0.8565330784244403
2018-03-07,0.8540800011480385,0.8485404792259594
2018-03-08,0.8625638439669496,0.8569660400323839
2018-03-09,0.8604298356712454,0.8548413936227839
2018-03-12,0.8599955600711795,0.8544106488549633
2018-03-13,0.8788376229134353,0.8731318104763299
2018-03-14,0.8847082265062908,0.8789675950159633
2018-03-15,0.8909667416684816,0.885184132554008
2018-03-16,0.8871419973455439,0.881382226336591
2018-03-19,0.8794163720667979,0.8737067769074668
2018-03-20,0.8804284065898182,0.8747105038998593
2018-03-21,0.8829764846976609,0.8772420248892439
2018-03-22,0.8884247055262635,0.8826548718692018
2018-03-23,0.8675682623566937,0.8619338781757341
2018-03-26,0.8877194523423735,0.8819541970617977
2018-03-27,0.8951474722873061,0.8893339760620926
2018-03-28,0.8689358315547888,0.8632925656737467
2018-03-29,0.8708668923320466,0.8779126239836517
2018-03-30,0.8826350909914518,0.9005231015949927
2018-04-02,0.9048254374011786,0.9270003437339518
2018-04-03,0.9149291035758188,0.953647730849181
2018-04-04,0.8897384692599386,0.9315328273466454
2018-04-05,0.9006556254877387,0.9292961550303583
2018-04-06,0.8928646270351404,0.9293159269724173
2018-04-09,0.9029791013971213,0.9470994972060318
2018-04-10,0.9156501344738226,0.958559855767989
2018-04-11,0.9159771298541464,0.9519450497086288
2018-04-12,0.901080533225737,0.9324601612728776
2018-04-13,0.9113651036280073,0.9411297968281834
