date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_kr_short_rate_sleeve_net_value,kr_short_rate_sleeve_factor
2010-01-04,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-05,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-06,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-07,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-08,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-11,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-12,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-13,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-14,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-15,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-18,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-19,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-20,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-21,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-22,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-25,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-26,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-27,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-28,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-01-29,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-01,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-02,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-03,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-04,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-05,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-08,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-09,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-10,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-11,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-12,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-16,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-17,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-18,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-19,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-22,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-23,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-24,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-25,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
2010-02-26,1.0,0.0,1.0,1.0,0,1.0,1.0,1.0
