year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,d001_factor_macro_gate_mcap_net_total_return,d009_minus_d001_factor_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,0.0,0.0
2012,0.0,0.18731018909741426,0.0,0.0,0.0
2013,0.0,0.06125736750042954,0.0,0.0,0.0
2014,0.0,0.05769800682302639,0.0,0.0,0.0
2015,0.0,0.16501292442133764,0.0,0.0,0.0
2017,0.29691099715980585,0.31675953872996554,0.0,0.0,0.29691099715980585
2018,0.01303500474297814,-0.08401784948302582,0.0,0.0,0.01303500474297814
2019,-0.008267168743508635,0.17019485930094325,0.0,0.0277493483052602,-0.036016517048768834
2020,0.18622233194054005,0.5251287429311848,0.0,0.2461360848272729,-0.05991375288673284
2021,-0.1293312699413628,0.13170240063376726,0.0,-0.035316520549102,-0.09401474939226079
2022,0.018058409572737633,-0.18442405395793493,0.0,0.0,0.018058409572737633
2023,0.05650740925314035,0.3279894204214897,0.0,-0.0177293971971159,0.07423680645025625
2024,0.13223925129482406,0.034981455283805474,0.0,0.0422472179791628,0.08999203331566125
2025,0.40387876216382734,1.047004780803555,0.0,0.7666554035490463,-0.3627766413852189
2026,0.2697600658081556,0.7344109727369705,0.0,0.0,0.2697600658081556
