date,cash,mtm_value,gross_value,net_value,n_positions
2010-01-04,1.0,0.0,1.0,1.0,0
2010-01-05,1.0,0.0,1.0,1.0,0
2010-01-06,1.0,0.0,1.0,1.0,0
2010-01-07,1.0,0.0,1.0,1.0,0
2010-01-08,1.0,0.0,1.0,1.0,0
2010-01-11,1.0,0.0,1.0,1.0,0
2010-01-12,1.0,0.0,1.0,1.0,0
2010-01-13,1.0,0.0,1.0,1.0,0
2010-01-14,1.0,0.0,1.0,1.0,0
2010-01-15,1.0,0.0,1.0,1.0,0
2010-01-18,1.0,0.0,1.0,1.0,0
2010-01-19,1.0,0.0,1.0,1.0,0
2010-01-20,1.0,0.0,1.0,1.0,0
2010-01-21,1.0,0.0,1.0,1.0,0
2010-01-22,1.0,0.0,1.0,1.0,0
2010-01-25,1.0,0.0,1.0,1.0,0
2010-01-26,1.0,0.0,1.0,1.0,0
2010-01-27,1.0,0.0,1.0,1.0,0
2010-01-28,1.0,0.0,1.0,1.0,0
2010-01-29,1.0,0.0,1.0,1.0,0
2010-02-01,1.0,0.0,1.0,1.0,0
2010-02-02,1.0,0.0,1.0,1.0,0
2010-02-03,1.0,0.0,1.0,1.0,0
2010-02-04,1.0,0.0,1.0,1.0,0
2010-02-05,1.0,0.0,1.0,1.0,0
2010-02-08,1.0,0.0,1.0,1.0,0
2010-02-09,1.0,0.0,1.0,1.0,0
2010-02-10,1.0,0.0,1.0,1.0,0
2010-02-11,1.0,0.0,1.0,1.0,0
2010-02-12,1.0,0.0,1.0,1.0,0
2010-02-16,1.0,0.0,1.0,1.0,0
2010-02-17,1.0,0.0,1.0,1.0,0
2010-02-18,1.0,0.0,1.0,1.0,0
2010-02-19,1.0,0.0,1.0,1.0,0
2010-02-22,1.0,0.0,1.0,1.0,0
2010-02-23,1.0,0.0,1.0,1.0,0
2010-02-24,1.0,0.0,1.0,1.0,0
2010-02-25,1.0,0.0,1.0,1.0,0
2010-02-26,1.0,0.0,1.0,1.0,0
2010-03-02,1.0,0.0,1.0,1.0,0
2010-03-03,1.0,0.0,1.0,1.0,0
2010-03-04,1.0,0.0,1.0,1.0,0
2010-03-05,1.0,0.0,1.0,1.0,0
2010-03-08,1.0,0.0,1.0,1.0,0
2010-03-09,1.0,0.0,1.0,1.0,0
2010-03-10,1.0,0.0,1.0,1.0,0
2010-03-11,1.0,0.0,1.0,1.0,0
2010-03-12,1.0,0.0,1.0,1.0,0
2010-03-15,1.0,0.0,1.0,1.0,0
2010-03-16,1.0,0.0,1.0,1.0,0
2010-03-17,1.0,0.0,1.0,1.0,0
2010-03-18,1.0,0.0,1.0,1.0,0
2010-03-19,1.0,0.0,1.0,1.0,0
2010-03-22,1.0,0.0,1.0,1.0,0
2010-03-23,1.0,0.0,1.0,1.0,0
2010-03-24,1.0,0.0,1.0,1.0,0
2010-03-25,1.0,0.0,1.0,1.0,0
2010-03-26,1.0,0.0,1.0,1.0,0
2010-03-29,1.0,0.0,1.0,1.0,0
2010-03-30,1.0,0.0,1.0,1.0,0
2010-03-31,1.0,0.0,1.0,1.0,0
2010-04-01,1.0,0.0,1.0,1.0,0
2010-04-02,1.0,0.0,1.0,1.0,0
2010-04-05,1.0,0.0,1.0,1.0,0
2010-04-06,1.0,0.0,1.0,1.0,0
2010-04-07,1.0,0.0,1.0,1.0,0
2010-04-08,1.0,0.0,1.0,1.0,0
2010-04-09,1.0,0.0,1.0,1.0,0
2010-04-12,1.0,0.0,1.0,1.0,0
2010-04-13,1.0,0.0,1.0,1.0,0
2010-04-14,1.0,0.0,1.0,1.0,0
2010-04-15,1.0,0.0,1.0,1.0,0
2010-04-16,1.0,0.0,1.0,1.0,0
2010-04-19,1.0,0.0,1.0,1.0,0
2010-04-20,1.0,0.0,1.0,1.0,0
2010-04-21,1.0,0.0,1.0,1.0,0
2010-04-22,1.0,0.0,1.0,1.0,0
2010-04-23,1.0,0.0,1.0,1.0,0
2010-04-26,1.0,0.0,1.0,1.0,0
2010-04-27,1.0,0.0,1.0,1.0,0
2010-04-28,1.0,0.0,1.0,1.0,0
2010-04-29,1.0,0.0,1.0,1.0,0
2010-04-30,1.0,0.0,1.0,1.0,0
2010-05-03,1.0,0.0,1.0,1.0,0
2010-05-04,1.0,0.0,1.0,1.0,0
2010-05-06,1.0,0.0,1.0,1.0,0
2010-05-07,1.0,0.0,1.0,1.0,0
2010-05-10,1.0,0.0,1.0,1.0,0
2010-05-11,1.0,0.0,1.0,1.0,0
2010-05-12,1.0,0.0,1.0,1.0,0
2010-05-13,1.0,0.0,1.0,1.0,0
2010-05-14,1.0,0.0,1.0,1.0,0
2010-05-17,1.0,0.0,1.0,1.0,0
2010-05-18,1.0,0.0,1.0,1.0,0
2010-05-19,1.0,0.0,1.0,1.0,0
2010-05-20,1.0,0.0,1.0,1.0,0
2010-05-24,1.0,0.0,1.0,1.0,0
2010-05-25,1.0,0.0,1.0,1.0,0
2010-05-26,1.0,0.0,1.0,1.0,0
2010-05-27,1.0,0.0,1.0,1.0,0
2010-05-28,1.0,0.0,1.0,1.0,0
2010-05-31,1.0,0.0,1.0,1.0,0
2010-06-01,1.0,0.0,1.0,1.0,0
2010-06-03,1.0,0.0,1.0,1.0,0
2010-06-04,1.0,0.0,1.0,1.0,0
2010-06-07,1.0,0.0,1.0,1.0,0
2010-06-08,1.0,0.0,1.0,1.0,0
2010-06-09,1.0,0.0,1.0,1.0,0
2010-06-10,1.0,0.0,1.0,1.0,0
2010-06-11,1.0,0.0,1.0,1.0,0
2010-06-14,1.0,0.0,1.0,1.0,0
2010-06-15,1.0,0.0,1.0,1.0,0
2010-06-16,1.0,0.0,1.0,1.0,0
2010-06-17,1.0,0.0,1.0,1.0,0
2010-06-18,1.0,0.0,1.0,1.0,0
2010-06-21,1.0,0.0,1.0,1.0,0
2010-06-22,1.0,0.0,1.0,1.0,0
2010-06-23,1.0,0.0,1.0,1.0,0
2010-06-24,1.0,0.0,1.0,1.0,0
2010-06-25,1.0,0.0,1.0,1.0,0
2010-06-28,1.0,0.0,1.0,1.0,0
2010-06-29,1.0,0.0,1.0,1.0,0
2010-06-30,1.0,0.0,1.0,1.0,0
2010-07-01,1.0,0.0,1.0,1.0,0
2010-07-02,1.0,0.0,1.0,1.0,0
2010-07-05,1.0,0.0,1.0,1.0,0
2010-07-06,1.0,0.0,1.0,1.0,0
2010-07-07,1.0,0.0,1.0,1.0,0
2010-07-08,1.0,0.0,1.0,1.0,0
2010-07-09,1.0,0.0,1.0,1.0,0
2010-07-12,1.0,0.0,1.0,1.0,0
2010-07-13,1.0,0.0,1.0,1.0,0
2010-07-14,1.0,0.0,1.0,1.0,0
2010-07-15,1.0,0.0,1.0,1.0,0
2010-07-16,1.0,0.0,1.0,1.0,0
2010-07-19,1.0,0.0,1.0,1.0,0
2010-07-20,1.0,0.0,1.0,1.0,0
2010-07-21,1.0,0.0,1.0,1.0,0
2010-07-22,1.0,0.0,1.0,1.0,0
2010-07-23,1.0,0.0,1.0,1.0,0
2010-07-26,1.0,0.0,1.0,1.0,0
2010-07-27,1.0,0.0,1.0,1.0,0
2010-07-28,1.0,0.0,1.0,1.0,0
2010-07-29,1.0,0.0,1.0,1.0,0
2010-07-30,1.0,0.0,1.0,1.0,0
2010-08-02,1.0,0.0,1.0,1.0,0
2010-08-03,1.0,0.0,1.0,1.0,0
2010-08-04,1.0,0.0,1.0,1.0,0
2010-08-05,1.0,0.0,1.0,1.0,0
2010-08-06,1.0,0.0,1.0,1.0,0
2010-08-09,1.0,0.0,1.0,1.0,0
2010-08-10,1.0,0.0,1.0,1.0,0
2010-08-11,1.0,0.0,1.0,1.0,0
2010-08-12,1.0,0.0,1.0,1.0,0
2010-08-13,1.0,0.0,1.0,1.0,0
2010-08-16,1.0,0.0,1.0,1.0,0
2010-08-17,1.0,0.0,1.0,1.0,0
2010-08-18,1.0,0.0,1.0,1.0,0
2010-08-19,1.0,0.0,1.0,1.0,0
2010-08-20,1.0,0.0,1.0,1.0,0
2010-08-23,1.0,0.0,1.0,1.0,0
2010-08-24,1.0,0.0,1.0,1.0,0
2010-08-25,1.0,0.0,1.0,1.0,0
2010-08-26,1.0,0.0,1.0,1.0,0
2010-08-27,1.0,0.0,1.0,1.0,0
2010-08-30,1.0,0.0,1.0,1.0,0
2010-08-31,1.0,0.0,1.0,1.0,0
2010-09-01,1.0,0.0,1.0,1.0,0
2010-09-02,1.0,0.0,1.0,1.0,0
2010-09-03,1.0,0.0,1.0,1.0,0
2010-09-06,1.0,0.0,1.0,1.0,0
2010-09-07,1.0,0.0,1.0,1.0,0
2010-09-08,1.0,0.0,1.0,1.0,0
2010-09-09,1.0,0.0,1.0,1.0,0
2010-09-10,1.0,0.0,1.0,1.0,0
2010-09-13,1.0,0.0,1.0,1.0,0
2010-09-14,1.0,0.0,1.0,1.0,0
2010-09-15,1.0,0.0,1.0,1.0,0
2010-09-16,1.0,0.0,1.0,1.0,0
2010-09-17,1.0,0.0,1.0,1.0,0
2010-09-20,1.0,0.0,1.0,1.0,0
2010-09-24,1.0,0.0,1.0,1.0,0
2010-09-27,1.0,0.0,1.0,1.0,0
2010-09-28,1.0,0.0,1.0,1.0,0
2010-09-29,1.0,0.0,1.0,1.0,0
2010-09-30,1.0,0.0,1.0,1.0,0
2010-10-01,1.0,0.0,1.0,1.0,0
2010-10-04,1.0,0.0,1.0,1.0,0
2010-10-05,1.0,0.0,1.0,1.0,0
2010-10-06,1.0,0.0,1.0,1.0,0
2010-10-07,1.0,0.0,1.0,1.0,0
2010-10-08,1.0,0.0,1.0,1.0,0
2010-10-11,1.0,0.0,1.0,1.0,0
2010-10-12,1.0,0.0,1.0,1.0,0
2010-10-13,1.0,0.0,1.0,1.0,0
2010-10-14,1.0,0.0,1.0,1.0,0
2010-10-15,1.0,0.0,1.0,1.0,0
2010-10-18,1.0,0.0,1.0,1.0,0
2010-10-19,1.0,0.0,1.0,1.0,0
2010-10-20,1.0,0.0,1.0,1.0,0
2010-10-21,1.0,0.0,1.0,1.0,0
2010-10-22,1.0,0.0,1.0,1.0,0
2010-10-25,1.0,0.0,1.0,1.0,0
2010-10-26,1.0,0.0,1.0,1.0,0
2010-10-27,1.0,0.0,1.0,1.0,0
2010-10-28,1.0,0.0,1.0,1.0,0
2010-10-29,1.0,0.0,1.0,1.0,0
2010-11-01,1.0,0.0,1.0,1.0,0
2010-11-02,1.0,0.0,1.0,1.0,0
2010-11-03,1.0,0.0,1.0,1.0,0
2010-11-04,1.0,0.0,1.0,1.0,0
2010-11-05,1.0,0.0,1.0,1.0,0
2010-11-08,1.0,0.0,1.0,1.0,0
2010-11-09,1.0,0.0,1.0,1.0,0
2010-11-10,1.0,0.0,1.0,1.0,0
2010-11-11,1.0,0.0,1.0,1.0,0
2010-11-12,1.0,0.0,1.0,1.0,0
2010-11-15,1.0,0.0,1.0,1.0,0
2010-11-16,1.0,0.0,1.0,1.0,0
2010-11-17,1.0,0.0,1.0,1.0,0
2010-11-18,1.0,0.0,1.0,1.0,0
2010-11-19,1.0,0.0,1.0,1.0,0
2010-11-22,1.0,0.0,1.0,1.0,0
2010-11-23,1.0,0.0,1.0,1.0,0
2010-11-24,1.0,0.0,1.0,1.0,0
2010-11-25,1.0,0.0,1.0,1.0,0
2010-11-26,1.0,0.0,1.0,1.0,0
2010-11-29,1.0,0.0,1.0,1.0,0
2010-11-30,1.0,0.0,1.0,1.0,0
2010-12-01,1.0,0.0,1.0,1.0,0
2010-12-02,1.0,0.0,1.0,1.0,0
2010-12-03,1.0,0.0,1.0,1.0,0
2010-12-06,1.0,0.0,1.0,1.0,0
2010-12-07,1.0,0.0,1.0,1.0,0
2010-12-08,1.0,0.0,1.0,1.0,0
2010-12-09,1.0,0.0,1.0,1.0,0
2010-12-10,1.0,0.0,1.0,1.0,0
2010-12-13,1.0,0.0,1.0,1.0,0
2010-12-14,1.0,0.0,1.0,1.0,0
2010-12-15,1.0,0.0,1.0,1.0,0
2010-12-16,1.0,0.0,1.0,1.0,0
2010-12-17,1.0,0.0,1.0,1.0,0
2010-12-20,1.0,0.0,1.0,1.0,0
2010-12-21,1.0,0.0,1.0,1.0,0
2010-12-22,1.0,0.0,1.0,1.0,0
2010-12-23,1.0,0.0,1.0,1.0,0
2010-12-24,1.0,0.0,1.0,1.0,0
2010-12-27,1.0,0.0,1.0,1.0,0
2010-12-28,1.0,0.0,1.0,1.0,0
2010-12-29,1.0,0.0,1.0,1.0,0
2010-12-30,1.0,0.0,1.0,1.0,0
2011-01-03,1.0,0.0,1.0,1.0,0
2011-01-04,1.0,0.0,1.0,1.0,0
2011-01-05,1.0,0.0,1.0,1.0,0
2011-01-06,1.0,0.0,1.0,1.0,0
