date,V1_factor_macro_gate_mcap_net_value,V2_kospi_buy_and_hold_net_value,V3_cash_net_value
2015-01-02,1.0,1.0,1.0
2015-01-05,1.0,0.9951745536154488,1.0
2015-01-06,1.0,0.9782877229245218,1.0
2015-01-07,1.0,0.979342596770597,1.0
2015-01-08,1.0,0.9905746757531682,1.0
2015-01-09,1.0,1.0014120941169793,1.0
2015-01-12,1.0,0.999827550665734,1.0
2015-01-13,1.0,0.9989911097437694,1.0
2015-01-14,1.0,0.9974767626817527,1.0
2015-01-15,1.0,0.9980969007313839,1.0
2015-01-16,1.0,0.9848063263454252,1.0
2015-01-19,1.0,0.9928789256225379,1.0
2015-01-20,1.0,1.0014311863878707,1.0
2015-01-21,1.0,1.0035410017138338,1.0
2015-01-22,1.0,1.0037231583850643,1.0
2015-01-23,1.0,1.012054397569295,1.0
2015-01-26,1.0,1.0123171993447568,1.0
2015-01-27,1.0,1.0214726778625207,1.0
2015-01-28,1.0,1.0271570760063662,1.0
2015-01-29,1.0,1.021996036629092,1.0
2015-01-30,1.0,1.0215976618308553,1.0
2015-02-02,1.0,1.0236627924795683,1.0
2015-02-03,1.0,1.0236715482460614,1.0
2015-02-04,1.0,1.0296380207401994,1.0
2015-02-05,1.0,1.0248717150133875,1.0
2015-02-06,1.0,1.0266789598009902,1.0
2015-02-09,1.0,1.0226821316807804,1.0
2015-02-10,1.0,1.017135044393992,1.0
2015-02-11,1.0,1.0227252720304492,1.0
2015-02-12,1.0,1.02096485704046,1.0
2015-02-13,1.0,1.029824484384168,1.0
2015-02-16,1.0,1.0306160753785596,1.0
2015-02-17,1.0,1.0327630164681811,1.0
2015-02-23,1.0,1.036822582064582,1.0
2015-02-24,1.0,1.0412351449531412,1.0
2015-02-25,1.0,1.0491758965303088,1.0
2015-02-26,1.0,1.0510438349573668,1.0
2015-02-27,1.0,1.0475136389813549,1.0
2015-03-02,1.0,1.0542936209342364,1.0
2015-03-03,1.0,1.057009712716564,1.0
2015-03-04,1.0,1.0557108827301434,1.0
2015-03-05,1.0,1.0559508523175039,1.0
2015-03-06,1.0,1.0640736177156516,1.0
2015-03-09,1.0,1.05373480725266,1.0
2015-03-10,1.0,1.0498555562473695,1.0
2015-03-11,1.0,1.0485274481020423,1.0
2015-03-12,1.0,1.0436677019776512,1.0
2015-03-13,1.0,1.052085003552247,1.0
2015-03-16,1.0,1.0534535558479192,1.0
2015-03-17,1.0,1.0764678480548633,1.0
2015-03-18,1.0,1.0759852855344976,1.0
2015-03-19,1.0,1.0814990412510188,1.0
2015-03-20,1.0,1.081570583907606,1.0
2015-03-23,1.0,1.0816686965856335,1.0
