date,ticker,signal_value,signal_date,execution_date,included_in_trade
2020-09-29,005930,347441344410000.0,2020-09-29,2020-10-05,True
2020-09-29,000660,61152198660000.0,2020-09-29,2020-10-05,True
2020-09-29,035420,48704096617500.0,2020-09-29,2020-10-05,True
2020-09-29,051910,46167392322000.0,2020-09-29,2020-10-05,True
2020-09-29,207940,45653850000000.0,2020-09-29,2020-10-05,True
2020-12-30,005930,483552386550000.0,2020-12-30,2021-01-04,True
2020-12-30,000660,86268280252500.0,2020-12-30,2021-01-04,True
2020-12-30,051910,58168090632000.0,2020-12-30,2021-01-04,True
2020-12-30,207940,54652290000000.0,2020-12-30,2021-01-04,True
2020-12-30,068270,48464211995000.0,2020-12-30,2021-01-04,True
2023-03-31,005930,382066083200000.0,2023-03-31,2023-04-03,True
2023-03-31,373220,136656000000000.0,2023-03-31,2023-04-03,True
2023-03-31,000660,64501009539000.0,2023-03-31,2023-04-03,True
2023-03-31,207940,56085112000000.0,2023-03-31,2023-04-03,True
2023-03-31,006400,50541929550000.0,2023-03-31,2023-04-03,True
2023-06-30,005930,431018300110000.0,2023-06-30,2023-07-03,True
2023-06-30,373220,129402000000000.0,2023-06-30,2023-07-03,True
2023-06-30,000660,83865872448000.0,2023-06-30,2023-07-03,True
2023-06-30,207940,52953456000000.0,2023-06-30,2023-07-03,True
2023-06-30,051910,47085092781000.0,2023-06-30,2023-07-03,True
2023-09-27,005930,408333126420000.0,2023-09-27,2023-10-04,True
2023-09-27,373220,111501000000000.0,2023-09-27,2023-10-04,True
2023-09-27,000660,83501871265500.0,2023-09-27,2023-10-04,True
2023-09-27,207940,48469494000000.0,2023-09-27,2023-10-04,True
2023-09-27,005490,45245608050000.0,2023-09-27,2023-10-04,True
2023-12-28,005930,468627930175000.0,2023-12-28,2024-01-02,True
2023-12-28,000660,103012334647500.0,2023-12-28,2024-01-02,True
2023-12-28,373220,100035000000000.0,2023-12-28,2024-01-02,True
2023-12-28,207940,54092240000000.0,2023-12-28,2024-01-02,True
2023-12-28,005380,43046661471000.0,2023-12-28,2024-01-02,True
2024-03-29,005930,491910082120000.0,2024-03-29,2024-04-01,True
2024-03-29,000660,133224432795000.0,2024-03-29,2024-04-01,True
2024-03-29,373220,92430000000000.0,2024-03-29,2024-04-01,True
2024-03-29,207940,59145594000000.0,2024-03-29,2024-04-01,True
2024-03-29,005380,49286840898000.0,2024-03-29,2024-04-01,True
2024-09-30,005930,367141626825000.0,2024-09-30,2024-10-02,True
2024-09-30,000660,127109212929000.0,2024-09-30,2024-10-02,True
2024-09-30,373220,96993000000000.0,2024-09-30,2024-10-02,True
2024-09-30,207940,69536998000000.0,2024-09-30,2024-10-02,True
2024-09-30,005380,51097550604000.0,2024-09-30,2024-10-02,True
2025-03-31,005930,342155071891600.0,2025-03-31,2025-04-01,True
2025-03-31,000660,138830051005500.0,2025-03-31,2025-04-01,True
2025-03-31,373220,78273000000000.0,2025-03-31,2025-04-01,True
2025-03-31,207940,72170436000000.0,2025-03-31,2025-04-01,True
2025-03-31,005380,41296872865200.0,2025-03-31,2025-04-01,True
2025-06-30,005930,353994347735600.0,2025-06-30,2025-07-01,True
2025-06-30,000660,212576690580000.0,2025-06-30,2025-07-01,True
2025-06-30,207940,70604608000000.0,2025-06-30,2025-07-01,True
2025-06-30,373220,69498000000000.0,2025-06-30,2025-07-01,True
2025-06-30,034020,43814382386400.0,2025-06-30,2025-07-01,True
2025-09-30,005930,496657621655800.0,2025-09-30,2025-10-01,True
2025-09-30,000660,252980821837500.0,2025-09-30,2025-10-01,True
2025-09-30,373220,81315000000000.0,2025-09-30,2025-10-01,True
2025-09-30,207940,70960478000000.0,2025-09-30,2025-10-01,True
2025-09-30,012450,57080684907000.0,2025-09-30,2025-10-01,True
